[11Dec2024 17:04:54.129] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forge_userdev_data, --assetIndex, 19, --assetsDir, C:\Users\Micha\.gradle\caches\forge_gradle\assets, --gameDir, ., --mod, openplease, --all, --output, C:\Users\Micha\Downloads\open-please-forge\src\generated\resources, --existing, C:\Users\Micha\Downloads\open-please-forge\src\main\resources]
[11Dec2024 17:04:54.131] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.4+7-LTS
[11Dec2024 17:04:54.132] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.2.2 starting: java version 21.0.4 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[11Dec2024 17:04:54.197] [main/WARN] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Configuration file C:\Users\Micha\Downloads\open-please-forge\run-data\config\fml.toml is not correct. Correcting
[11Dec2024 17:04:54.198] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowSkipGLVersions] was corrected from null to []
[11Dec2024 17:04:54.199] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[11Dec2024 17:04:54.199] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowSquir] was corrected from null to false
[11Dec2024 17:04:54.200] [main/INFO] [net.minecraftforge.fml.loading.FMLConfig/CORE]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[11Dec2024 17:04:54.209] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forge_userdev_data
[11Dec2024 17:04:54.295] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=jar:file:///C:/Users/Micha/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.7/8ab114ac385e6dbdad5efafe28aba4df8120915f/mixin-0.8.7.jar!/ Service=ModLauncher Env=UNKNOWN
[11Dec2024 17:04:55.115] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[11Dec2024 17:04:56.107] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forge_userdev_data' with arguments [--gameDir, ., --assetsDir, C:\Users\Micha\.gradle\caches\forge_gradle\assets, --assetIndex, 19, --mod, openplease, --all, --output, C:\Users\Micha\Downloads\open-please-forge\src\generated\resources, --existing, C:\Users\Micha\Downloads\open-please-forge\src\main\resources]
[11Dec2024 17:04:59.888] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:root
[11Dec2024 17:04:59.888] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:sound_event
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:fluid
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:particle_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:attribute
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:mob_effect
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:enchantment_effect_component_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:data_component_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:entity_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:item
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:game_event
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:potion
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:block_entity_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:stat_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:custom_stat
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:chunk_status
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_test
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:rule_block_entity_modifier
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:pos_rule_test
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:menu
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_type
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:recipe_serializer
[11Dec2024 17:04:59.889] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:position_source_type
[11Dec2024 17:04:59.890] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:command_argument_type
[11Dec2024 17:04:59.890] [main/INFO] [net.minecraftforge.registries.GameData/REGISTRIES]: 	minecraft:villager_type
